study_id,config_id,slug,algorithm,placement,topology,block,iterations,residual,schedule,credit,state_dim,h_cycles,l_cycles,h_update_executions,l_update_executions,total_update_executions,trainable_params,core_trainable_params,buffer_elements,environment,seed,git_commit,status,run_dir,final_success,best_success,best_step
M11A,M11A-C001,crl_ff_actor_ff_critic,crl,none,feedforward,,,,,,,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M11A/M11A-C001__crl_ff_actor_ff_critic/antmaze-large-navigate-v0/seed_000,,,
M11A,M11A-C002,crl_ff_actor_single_state_critic,crl,critic_computation,single_state,,,,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M11A/M11A-C002__crl_ff_actor_single_state_critic/antmaze-large-navigate-v0/seed_000,,,
M11A,M11A-C003,crl_single_state_actor_ff_critic,crl,actor_computation,single_state,,,,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M11A/M11A-C003__crl_single_state_actor_ff_critic/antmaze-large-navigate-v0/seed_000,,,
M11A,M11A-C004,crl_single_state_actor_single_state_critic,crl,actor+critic_computation,single_state,,,,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M11A/M11A-C004__crl_single_state_actor_single_state_critic/antmaze-large-navigate-v0/seed_000,,,
M11A,M11A-C005,crl_ff_actor_two_state_critic,crl,critic_computation,two_state,,,,,,512,2,1,2,2,4,,,,antmaze-large-navigate-v0,0,,planned,runs/M11A/M11A-C005__crl_ff_actor_two_state_critic/antmaze-large-navigate-v0/seed_000,,,
M11A,M11A-C006,crl_two_state_actor_ff_critic,crl,actor_computation,two_state,,,,,,512,2,1,2,2,4,,,,antmaze-large-navigate-v0,0,,planned,runs/M11A/M11A-C006__crl_two_state_actor_ff_critic/antmaze-large-navigate-v0/seed_000,,,
M11A,M11A-C007,crl_two_state_actor_two_state_critic,crl,actor+critic_computation,two_state,,,,,,512,2,1,2,2,4,,,,antmaze-large-navigate-v0,0,,planned,runs/M11A/M11A-C007__crl_two_state_actor_two_state_critic/antmaze-large-navigate-v0/seed_000,,,
