study_id,config_id,algorithm,environment,seed,status,best_success,best_step,last3_mean,normalized_auc,auc_status
M22,M22-HIQL-P4X6,hiql,puzzle-4x6-play-v0,1,missing,,,,,not_available
M22,M22-HIQL-P4X6,hiql,puzzle-4x6-play-v0,2,missing,,,,,not_available
M22,M22-QRL-P3X3,qrl,puzzle-3x3-play-v0,0,missing,,,,,not_available
M22,M22-QRL-P3X3,qrl,puzzle-3x3-play-v0,1,missing,,,,,not_available
M22,M22-QRL-P3X3,qrl,puzzle-3x3-play-v0,2,missing,,,,,not_available
M22,M22-QRL-P4X4,qrl,puzzle-4x4-play-v0,0,missing,,,,,not_available
M22,M22-QRL-P4X4,qrl,puzzle-4x4-play-v0,1,missing,,,,,not_available
M22,M22-QRL-P4X4,qrl,puzzle-4x4-play-v0,2,missing,,,,,not_available
M22,M22-QRL-P4X5,qrl,puzzle-4x5-play-v0,0,missing,,,,,not_available
M22,M22-QRL-P4X5,qrl,puzzle-4x5-play-v0,1,missing,,,,,not_available
M22,M22-QRL-P4X5,qrl,puzzle-4x5-play-v0,2,missing,,,,,not_available
M22,M22-QRL-P4X6,qrl,puzzle-4x6-play-v0,0,missing,,,,,not_available
M22,M22-QRL-P4X6,qrl,puzzle-4x6-play-v0,1,missing,,,,,not_available
M22,M22-QRL-P4X6,qrl,puzzle-4x6-play-v0,2,missing,,,,,not_available
