Algorithm,puzzle-3x3-play-v0,puzzle-4x4-play-v0,puzzle-4x5-play-v0,puzzle-4x6-play-v0
GCBC,—,—,—,—
GCIVL,—,—,—,—
GCIQL,—,—,—,—
QRL,—,—,—,—
CRL,—,—,—,—
HIQL,—,—,—,—
